from,to,cost
0,0,0.0
0,1,29.3
0,2,11.9
0,3,31.1
0,4,31.3
0,5,21.7
0,6,20.6
0,7,21.6
0,8,11.4
0,9,39.6
0,10,12.0
0,11,11.5
0,12,23.5
0,13,27.1
0,14,17.6
0,15,36.0
0,16,18.7
0,17,5.4
0,18,32.7
0,19,10.4
0,20,15.0
0,21,29.6
0,22,37.0
0,23,6.2
0,24,9.7
0,25,48.5
0,26,5.8
0,27,40.6
0,28,38.4
0,29,38.1
0,30,20.7
0,31,47.6
0,32,18.4
0,33,8.4
0,34,22.8
0,35,15.5
0,36,22.7
0,37,20.5
0,38,14.2
0,39,21.3
0,40,24.3
0,41,23.0
0,42,19.8
0,43,20.5
0,44,13.7
0,45,17.8
0,46,20.1
0,47,24.3
0,48,9.9
0,49,45.6
0,50,9.6
0,51,17.7
0,52,19.0
0,53,6.8
0,54,14.5
0,55,30.3
0,56,34.9
0,57,29.0
0,58,23.5
0,59,25.6
0,60,46.3
0,61,20.3
0,62,19.4
0,63,12.8
0,64,22.8
0,65,10.7
0,66,18.7
0,67,21.3
0,68,16.6
0,69,37.3
0,70,15.3
0,71,20.0
0,72,2.5
0,73,11.5
0,74,15.3
0,75,22.7
0,76,28.8
0,77,18.7
0,78,24.8
0,79,48.2
0,80,20.8
0,81,26.9
0,82,20.5
0,83,42.9
0,84,21.8
0,85,24.8
0,86,23.6
0,87,36.4
0,88,17.5
0,89,33.8
0,90,16.3
0,91,13.0
0,92,19.2
0,93,8.1
0,94,44.8
0,95,5.5
0,96,9.8
0,97,10.3
0,98,46.4
0,99,23.0
0,100,31.4
0,101,36.7
0,102,27.8
0,103,19.6
0,104,28.2
0,105,15.5
0,106,23.5
0,107,15.4
0,108,14.7
0,109,40.3
0,110,21.5
0,111,28.8
0,112,11.8
0,113,12.1
0,114,18.6
0,115,20.6
0,116,48.2
0,117,37.2
0,118,29.4
0,119,22.4
0,120,17.0
0,121,37.1
0,122,25.6
0,123,43.1
0,124,28.1
0,125,9.4
0,126,39.5
0,127,26.2
0,128,8.8
0,129,18.8
0,130,27.7
0,131,24.5
0,132,29.4
0,133,19.7
0,134,28.3
0,135,18.9
0,136,14.5
0,137,34.0
0,138,1.4
0,139,8.8
0,140,36.1
0,141,18.5
0,142,13.6
0,143,11.6
0,144,24.6
0,145,9.6
0,146,28.9
0,147,8.2
0,148,11.7
0,149,24.3
0,150,14.3
0,151,22.6
0,152,28.3
0,153,18.5
0,154,16.4
0,155,49.8
0,156,44.9
0,157,20.2
0,158,22.4
0,159,12.5
0,160,23.7
0,161,3.5
0,162,15.7
0,163,20.3
0,164,18.8
0,165,12.9
0,166,12.4
0,167,34.0
0,168,19.9
0,169,26.3
0,170,11.3
0,171,9.7
0,172,45.5
0,173,17.6
0,174,21.6
0,175,18.6
0,176,18.5
0,177,29.4
0,178,19.8
0,179,20.3
0,180,11.2
0,181,10.9
0,182,23.1
0,183,50.6
0,184,18.2
0,185,37.3
0,186,19.4
0,187,11.4
0,188,15.6
0,189,27.8
0,190,18.7
0,191,19.2
0,192,12.8
0,193,3.0
0,194,24.7
0,195,38.1
0,196,30.2
0,197,15.4
0,198,36.7
0,199,29.7
0,200,48.7
0,201,18.3
0,202,21.7
0,203,27.4
0,204,23.4
0,205,8.1
0,206,48.1
0,207,42.1
0,208,48.5
0,209,48.5
0,210,31.0
0,211,4.6
0,212,18.4
0,213,30.1
0,214,20.1
0,215,4.0
0,216,13.0
0,217,13.8
0,218,21.8
0,219,25.4
0,220,31.8
0,221,12.5
0,222,13.3
0,223,7.4
0,224,37.2
0,225,17.7
0,226,8.2
0,227,49.8
0,228,18.3
0,229,6.4
0,230,50.9
0,231,8.8
0,232,23.0
0,233,42.0
0,234,40.4
0,235,29.3
0,236,21.0
0,237,22.3
0,238,11.0
0,239,48.2
0,240,33.0
0,241,29.6
0,242,23.7
0,243,21.1
0,244,18.4
0,245,31.5
0,246,44.1
0,247,30.2
1,0,42.2
1,1,0.0
1,2,39.6
1,3,49.7
1,4,2.0
1,5,15.2
1,6,33.0
1,7,49.8
1,8,36.0
1,9,42.0
1,10,39.8
